pano_id,lat,lng
SXeckc83komtA6GwZBAx4g,35.28443030598353,-120.6526890911911
FzJs8EKa3fFaw_oPW0h4Ag,35.25471120433986,-120.6461288910415
DRcfwR1ekPD9yEj-kCpJ1Q,35.24611406270115,-120.6480685518613
uskUlayTRugt8ADgWlI2Ow,35.23693973946944,-120.6542762132901
s7aeHKIfizYsZzVHCLCONQ,35.25403439943879,-120.6586759953605
bYdELYRnE8LaPZgB7oYdjQ,35.23464056645087,-120.6863638968577
CepRx9dz65AIOp_2nNIIAA,35.26817203796833,-120.7008602981249
nyu09vchhLW5s3XvxRqC2w,35.23771790634163,-120.6795050317394
5ghIi5JKji1X9IuOlTtxEw,35.23581471435067,-120.6543641472547
EGSNHI6GxZKHVxk_3RBc4g,35.25671783050765,-120.636306557045
mRLfON1hslCSNlaw8dlNTQ,35.29439669566266,-120.6412562181428
XJbsvmJGdH5-V2yV0hoWmA,35.2332561798932,-120.6862198341927
9kpHOQVEM8QiHeyG56i6zg,35.23554807234182,-120.6378866305794
mOI7TxUgznjoqc_Xlte_xA,35.24395141573353,-120.6508622743761
XjaHNQGZNxuC5WPTuH5eVA,35.30265206048298,-120.6559918798352
JK7H0eU8XI__zH957s9U6Q,35.30170264819488,-120.6258857763162
v2K9Iivy4C4WVQLu3zh8Pw,35.27022012180967,-120.660953139768
Iq9iz8d1QYW2qemKa-rKew,35.3014060254095,-120.6663787532712
kOoJ4af1QIHQBr2Fa6bxug,35.25735765307522,-120.6600308437764
OsPA4-GAxKZzAU9ouvwrLA,35.30770592941344,-120.6804395559928
fAiA_SplSe6Xc_HM1Bpv1A,35.26469747786017,-120.6941664587557
ySxMHAlZD0ksVyUiPCTmzg,35.24354828938277,-120.6297595472981
c96X5fAYIHdphgIzvu2hmw,35.23270762491921,-120.6679263031743
T-xmRTQ_UAD0qWO4TnaWUQ,35.29056526630058,-120.6667694157748
GYWxjSckZnYgmLEkYKPpZA,35.26325982158278,-120.6944385109762
C0kohgFL2tnuTr1S0MVCvA,35.29573345539482,-120.6596297174985
gbBZXy_-PNqbatl9rq6Phw,35.23950017636289,-120.6602869987847
qRO5suwkQMpU4ktCHwZzCw,35.25791813584251,-120.6301946500497
RA_K9uobQlTJ0BT1rYGaLA,35.23040704097765,-120.6488972055862
vvsUyQAL2IcVxLQ2ihxgFg,35.29345098749863,-120.64767203886
Ew5uRwiWdE7_focdSXKxNw,35.26406413970852,-120.6571866895326
-PqCw0O7PML8XfQoSKuC2A,35.25659967434394,-120.6807576137803
whibwBojzWmpwwHpXmKvyQ,35.23842514451033,-120.6858816109024
fMkn757Okd-pNbt7Y92cIQ,35.29344122748949,-120.6490161233545
jcmz_A6dxVUWnrGFb2vRQw,35.28892436239593,-120.694300686465
rgRKmBIOh92IduBJQAusrA,35.25456265936775,-120.691255524399
LalGLqhz9x8AU0X6M4255w,35.2766016537643,-120.6419632716272
C_fl83a-gs0rWAdZ2Uvgog,35.23214195596885,-120.6340681130822
c8OexfauD-CiuDnVOz-7EA,35.26238852115129,-120.639271075804
KRaNLAYydjQlilDmgbXHLg,35.26623970273512,-120.6704471295048
7L-BAcx2S-qmM5js5e_Nlw,35.29079887312803,-120.6274151277903
DG4snro9bI_EfBvMSsHLTA,35.25389498520606,-120.6626261551292
ARmv5ILxO8e9_IhOT9imCw,35.27486167111841,-120.6421796172636
S-dEER0oSKCvzG9YTZyFxw,35.28150502190481,-120.6701250091901
hkH5bY0eYOZVgDOALkbV3Q,35.25649286038248,-120.6307015512001
y2khU1MqilJOTwULa0hNsQ,35.24482059464014,-120.6379155649302
gPtguylilmEJSSTiWeIckg,35.26695467801724,-120.6375519337544
QhIekfr-NuojRheKuf_Cfg,35.30204261408732,-120.6686132000233
xtK6IATsAy9nHRErnop0cA,35.24300387819946,-120.6730145857542
6rsLtyabgzEZIXDHvGW_5A,35.2949472849015,-120.6462681726914
RADBcmC6RJQ6IjT7KuS3Zg,35.27402385534393,-120.656832416259
NKmzdJRDbfbPN7a_qe1Brg,35.23358053836038,-120.6365993607952
4sZvUbQ_Uzq4Nh6WraCM-A,35.25568357082568,-120.6465676233284
DsodhS3tkkpHJN9soB9wGw,35.25663168255618,-120.6244943953299
gg8FRtPv1oqVhW1lv5y89Q,35.2912220739452,-120.6810922535714
6aGdJQpYGkXYBwm0EeIKGQ,35.27130050975088,-120.6562647169247
iD2v-8Z7RlCxhvIF3AIFZw,35.28984032496762,-120.6923492821451
JDy8gKm3KYrbfra-R_zDMA,35.28705408573215,-120.6676233934565
BJFNC_OAqYta4J7ro8Ulzg,35.28540633650187,-120.7015568396929
